dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,label
0.121,8,6,528,304,114.2,31,29,34892,21022,0,0,11.4,13.1,0.40,0.50,0
0.134,9,7,612,418,119.5,30,29,36531,24612,0,0,10.9,12.5,0.41,0.54,0
0.098,7,6,486,306,132.7,31,30,39011,24830,0,0,12.2,12.9,0.35,0.49,0
0.156,10,8,704,512,108.4,31,29,36102,26256,1,0,11.1,13.7,0.48,0.58,0
0.143,9,7,640,420,112.8,30,30,35750,23512,0,0,11.6,13.4,0.44,0.52,0
0.172,11,9,820,650,104.6,31,29,38138,30232,0,1,10.7,12.8,0.53,0.61,0
0.111,8,6,552,326,126.1,30,29,39783,23495,0,0,11.8,13.2,0.39,0.50,0
0.187,12,9,896,708,101.7,31,30,38342,30299,1,0,10.2,12.3,0.57,0.63,0
0.092,7,5,430,260,130.4,30,29,37391,22608,0,0,12.8,14.1,0.33,0.47,0
0.148,10,7,690,460,115.7,31,29,37297,24865,0,0,11.3,13.5,0.46,0.55,0
0.166,11,8,778,602,108.9,30,30,37494,29012,1,0,10.8,12.7,0.51,0.59,0
0.137,9,7,626,434,116.8,31,29,36554,25343,0,0,11.5,13.0,0.43,0.53,0
0.104,8,6,512,310,125.3,30,29,39384,23846,0,0,12.0,13.6,0.37,0.48,0
0.181,12,9,884,690,103.4,31,30,39083,30512,1,1,10.3,12.1,0.56,0.62,0
0.126,8,7,582,392,120.1,30,29,36952,24888,0,0,11.7,13.1,0.42,0.51,0
0.159,10,8,730,540,109.8,31,29,36729,27170,0,1,10.9,12.6,0.49,0.57,0
0.115,8,6,544,332,123.2,30,30,37861,23095,0,0,11.9,13.3,0.38,0.50,0
0.193,12,10,920,760,100.2,31,29,38135,31502,1,1,10.1,12.0,0.59,0.66,0
0.107,7,6,496,318,127.9,30,29,37084,23775,0,0,12.3,13.8,0.36,0.49,0
0.151,10,8,712,522,111.6,31,30,37722,27655,0,0,11.0,12.9,0.47,0.56,0
