record,error,threshold,label
53,0.0189504837,0.0006202863,0
57,0.0016877362,0.0006202863,0
58,0.0016877362,0.0006202863,0
65,0.0042634591,0.0006202863,0
66,0.0042634591,0.0006202863,0
69,0.0213128742,0.0006202863,0
75,0.0029011455,0.0006202863,0
84,0.0011231505,0.0006202863,0
97,0.0208620834,0.0006202863,0
100,0.0201599148,0.0006202863,0
103,0.0098041399,0.0006202863,0
105,0.0014446568,0.0006202863,0
108,0.0133232726,0.0006202863,0
111,0.0035581810,0.0006202863,0
113,0.0232895285,0.0006202863,0
117,0.0006723395,0.0006202863,0
120,0.0008772634,0.0006202863,0
123,0.0008522953,0.0006202863,0
129,0.0007258502,0.0006202863,0
132,0.0006629299,0.0006202863,0
137,0.0267993949,0.0006202863,0
140,0.0132887952,0.0006202863,0
152,0.0006825327,0.0006202863,0
157,0.0019760875,0.0006202863,0
158,0.0009045569,0.0006202863,0
159,0.0008465849,0.0006202863,0
160,0.0040536342,0.0006202863,0
162,0.0228913459,0.0006202863,0
164,0.0007997482,0.0006202863,0
168,0.0231456741,0.0006202863,0
169,0.0008465849,0.0006202863,0
170,0.0063071259,0.0006202863,0
184,0.0007014205,0.0006202863,0
200,0.0012433190,0.0006202863,0
202,0.0023767519,0.0006202863,0
204,0.0033854672,0.0006202863,0
207,0.0048932774,0.0006202863,0
209,0.0077488328,0.0006202863,0
239,0.0032907347,0.0006202863,0
242,0.0082552077,0.0006202863,0
244,0.0009719580,0.0006202863,0
247,0.0011448677,0.0006202863,0
274,0.0016938142,0.0006202863,0
276,0.0175688130,0.0006202863,0
279,0.0033094653,0.0006202863,0
282,0.0009901328,0.0006202863,0
296,0.0009469487,0.0006202863,0
321,0.0030827575,0.0006202863,0
333,0.0011046252,0.0006202863,0
335,0.0052985974,0.0006202863,0
356,0.0022826356,0.0006202863,0
359,0.0037398731,0.0006202863,0
361,0.0049628294,0.0006202863,0
362,0.0102211505,0.0006202863,0
363,0.0053989186,0.0006202863,0
364,0.0058547140,0.0006202863,0
365,0.0029989609,0.0006202863,0
367,0.0014038624,0.0006202863,0
373,0.0013463913,0.0006202863,0
374,0.0013028752,0.0006202863,0
376,0.0016361386,0.0006202863,0
379,0.0029091427,0.0006202863,0
380,0.0024081285,0.0006202863,0
403,0.0006604135,0.0006202863,0
404,0.0040757254,0.0006202863,0
410,0.0056065113,0.0006202863,0
411,0.0025704511,0.0006202863,0
412,0.0035694498,0.0006202863,0
428,0.0035155748,0.0006202863,0
429,0.0058103448,0.0006202863,0
431,0.0008972558,0.0006202863,0
432,0.0038598230,0.0006202863,0
434,0.0048951801,0.0006202863,0
436,0.0062625636,0.0006202863,0
437,0.0056528327,0.0006202863,0
438,0.0129107319,0.0006202863,0
439,0.0055688426,0.0006202863,0
440,0.0234459713,0.0006202863,0
441,0.0052540522,0.0006202863,0
442,0.0054824785,0.0006202863,0
444,0.0060701446,0.0006202863,0
445,0.0060200823,0.0006202863,0
448,0.0007025856,0.0006202863,0
450,0.0010713926,0.0006202863,0
451,0.0018439777,0.0006202863,0
461,0.0020877135,0.0006202863,0
463,0.0025130852,0.0006202863,0
464,0.0021647740,0.0006202863,0
466,0.0040282971,0.0006202863,0
480,0.0007060020,0.0006202863,0
489,0.0027348503,0.0006202863,0
492,0.0154652120,0.0006202863,0
494,0.0057773373,0.0006202863,0
495,0.0035809919,0.0006202863,0
496,0.0222894361,0.0006202863,0
497,0.0055129655,0.0006202863,0
498,0.0015827495,0.0006202863,0
499,0.0014079044,0.0006202863,0
500,0.0013759265,0.0006202863,0
501,0.0017399364,0.0006202863,0
502,0.0021452163,0.0006202863,0
503,0.0030522766,0.0006202863,0
504,0.0192266519,0.0006202863,0
505,0.0043428765,0.0006202863,0
507,0.0011186086,0.0006202863,0
510,0.0037604355,0.0006202863,0
517,0.0022459408,0.0006202863,0
519,0.0022390321,0.0006202863,0
521,0.0022022531,0.0006202863,0
523,0.0043629025,0.0006202863,0
527,0.0008958413,0.0006202863,0
529,0.0014271222,0.0006202863,0
531,0.0012483165,0.0006202863,0
532,0.0016740165,0.0006202863,0
534,0.0028612652,0.0006202863,0
536,0.0043200266,0.0006202863,0
545,0.0061889260,0.0006202863,0
547,0.0022390321,0.0006202863,0
549,0.0058547140,0.0006202863,0
550,0.0038973819,0.0006202863,0
551,0.0032518072,0.0006202863,0
554,0.0048814889,0.0006202863,0
556,0.0214784203,0.0006202863,0
559,0.0006712756,0.0006202863,0
563,0.0026116110,0.0006202863,0
599,0.0006788279,0.0006202863,0
602,0.0037344259,0.0006202863,0
605,0.0020874466,0.0006202863,0
608,0.0020328684,0.0006202863,0
610,0.0009306850,0.0006202863,0
622,0.0023138408,0.0006202863,0
625,0.0054397505,0.0006202863,0
653,0.0189034244,0.0006202863,0
660,0.0019510025,0.0006202863,0
670,0.0008950796,0.0006202863,0
674,0.0058402214,0.0006202863,0
677,0.0029938014,0.0006202863,0
680,0.0127978818,0.0006202863,0
682,0.0084659153,0.0006202863,0
689,0.0022122434,0.0006202863,0
712,0.0008380082,0.0006202863,0
716,0.0047636545,0.0006202863,0
718,0.0021474943,0.0006202863,0
720,0.0009865865,0.0006202863,0
735,0.0026424403,0.0006202863,0
737,0.0015627322,0.0006202863,0
739,0.0009631886,0.0006202863,0
743,0.0014248194,0.0006202863,0
746,0.0042634537,0.0006202863,0
748,0.0042634692,0.0006202863,0
763,0.0009787113,0.0006202863,0
765,0.0006265025,0.0006202863,0
768,0.0037737895,0.0006202863,0
769,0.0024037255,0.0006202863,0
771,0.0045402314,0.0006202863,0
774,0.0021880361,0.0006202863,0
797,0.0137585228,0.0006202863,0
845,0.0019221607,0.0006202863,0
848,0.0089962795,0.0006202863,0
857,0.0031576608,0.0006202863,0
863,0.0392884567,0.0006202863,0
869,0.0026296695,0.0006202863,0
897,0.0020630626,0.0006202863,0
899,0.0049833311,0.0006202863,0
900,0.0386728390,0.0006202863,0
967,0.0014258732,0.0006202863,0
968,0.0009156416,0.0006202863,0
986,0.0006317208,0.0006202863,0
990,0.0059335313,0.0006202863,0
1050,0.0033097042,0.0006202863,0
1067,0.0107884372,0.0006202863,0
1070,0.0006284214,0.0006202863,0
1088,0.0013554996,0.0006202863,0
1092,0.0020954118,0.0006202863,0
1094,0.0035254115,0.0006202863,0
1096,0.0038310025,0.0006202863,0
1097,0.0018958130,0.0006202863,0
1117,0.0076038727,0.0006202863,0
1118,0.0043698539,0.0006202863,0
1120,0.0035469637,0.0006202863,0
1121,0.0009551014,0.0006202863,0
1122,0.0031579610,0.0006202863,0
1123,0.0044118709,0.0006202863,0
1143,0.0006562758,0.0006202863,0
1145,0.0021420331,0.0006202863,0
1146,0.0013977924,0.0006202863,0
1148,0.0015628109,0.0006202863,0
1149,0.0030836839,0.0006202863,0
1151,0.0021494576,0.0006202863,0
1152,0.0040867962,0.0006202863,0
1154,0.0014613607,0.0006202863,0
1158,0.0041565156,0.0006202863,0
1161,0.0077313633,0.0006202863,0
1164,0.0148560115,0.0006202863,0
1167,0.0009475076,0.0006202863,0
1188,0.0012574226,0.0006202863,0
1198,0.0011411689,0.0006202863,0
1204,0.0176633817,0.0006202863,0
1207,0.0025651136,0.0006202863,0
1211,0.0024530402,0.0006202863,0
1231,0.0039729371,0.0006202863,0
1232,0.0027965275,0.0006202863,0
1233,0.0030508447,0.0006202863,0
1239,0.0020050078,0.0006202863,0
1240,0.0023675954,0.0006202863,0
1244,0.0008889202,0.0006202863,0
1253,0.0009241259,0.0006202863,0
1255,0.0007652498,0.0006202863,0
1311,0.0042637771,0.0006202863,0
1313,0.0018285260,0.0006202863,0
1314,0.0044904851,0.0006202863,0
1323,0.0211411920,0.0006202863,0
1327,0.0023438056,0.0006202863,0
1329,0.0014839757,0.0006202863,0
1341,0.0006267985,0.0006202863,0
1351,0.0211411920,0.0006202863,0
1354,0.0006214314,0.0006202863,0
1361,0.0023713651,0.0006202863,0
1370,0.0043151826,0.0006202863,0
1372,0.0014209986,0.0006202863,0
1374,0.0010583427,0.0006202863,0
1393,0.0033913446,0.0006202863,0
1408,0.0006232245,0.0006202863,0
1409,0.0042375037,0.0006202863,0
1411,0.0014416338,0.0006202863,0
1419,0.0025418224,0.0006202863,0
1425,0.0025378845,0.0006202863,0
1446,0.0043890438,0.0006202863,0
1461,0.0011464065,0.0006202863,0
1464,0.0011146469,0.0006202863,0
1466,0.0010529067,0.0006202863,0
1469,0.0007133495,0.0006202863,0
1471,0.0032778368,0.0006202863,0
1475,0.0065087331,0.0006202863,0
1479,0.0008888883,0.0006202863,0
1480,0.0023882319,0.0006202863,0
1482,0.0007374529,0.0006202863,0
1484,0.0028108982,0.0006202863,0
1485,0.0010627904,0.0006202863,0
1490,0.0123431021,0.0006202863,0
1491,0.0074704987,0.0006202863,0
1493,0.0014530407,0.0006202863,0
1495,0.0070254434,0.0006202863,0
1502,0.0045533385,0.0006202863,0
1504,0.0013218853,0.0006202863,0
1507,0.0020561132,0.0006202863,0
1510,0.0014184424,0.0006202863,0
1511,0.0023074310,0.0006202863,0
1512,0.0031572020,0.0006202863,0
1515,0.0043921127,0.0006202863,0
1526,0.0042873977,0.0006202863,0
1531,0.0021067101,0.0006202863,0
1533,0.0037307110,0.0006202863,0
1534,0.0037119570,0.0006202863,0
1536,0.0008512933,0.0006202863,0
1538,0.0101388326,0.0006202863,0
1539,0.0014626378,0.0006202863,0
1546,0.0008730682,0.0006202863,0
1547,0.0009318588,0.0006202863,0
1549,0.0012630355,0.0006202863,0
1554,0.0007704277,0.0006202863,0
1556,0.0015562956,0.0006202863,0
1559,0.0020415010,0.0006202863,0
1561,0.0131300716,0.0006202863,0
1563,0.0016781186,0.0006202863,0
1569,0.0187413993,0.0006202863,0
1575,0.0067029201,0.0006202863,0
1580,0.0012042275,0.0006202863,0
1581,0.0049191956,0.0006202863,0
1601,0.0041521910,0.0006202863,0
1602,0.0027444791,0.0006202863,0
1604,0.0006416969,0.0006202863,0
1613,0.0187413993,0.0006202863,0
1614,0.0013249524,0.0006202863,0
1615,0.0021528693,0.0006202863,0
1617,0.0037910809,0.0006202863,0
1618,0.0011705844,0.0006202863,0
1636,0.0087583769,0.0006202863,0
1637,0.0011400627,0.0006202863,0
1639,0.0121592341,0.0006202863,0
1640,0.0042631275,0.0006202863,0
1642,0.0015109678,0.0006202863,0
1643,0.0055595791,0.0006202863,0
1644,0.0008390906,0.0006202863,0
1645,0.0007112353,0.0006202863,0
1646,0.0102209600,0.0006202863,0
1648,0.0137735190,0.0006202863,0
1652,0.0007922761,0.0006202863,0
1678,0.0026007656,0.0006202863,0
1680,0.0007123640,0.0006202863,0
1681,0.0147510185,0.0006202863,0
1682,0.0052292261,0.0006202863,0
1683,0.0016931752,0.0006202863,0
1684,0.0331282366,0.0006202863,0
1685,0.0021990521,0.0006202863,0
1686,0.0033867614,0.0006202863,0
1698,0.0007209436,0.0006202863,0
1699,0.0022619069,0.0006202863,0
1731,0.0029853068,0.0006202863,0
1733,0.0030363978,0.0006202863,0
1745,0.0037577758,0.0006202863,0
1746,0.0029853068,0.0006202863,0
1748,0.0029651267,0.0006202863,0
1751,0.0057403191,0.0006202863,0
1753,0.0015841679,0.0006202863,0
1754,0.0043001590,0.0006202863,0
1767,0.0039100159,0.0006202863,0
1768,0.0013249789,0.0006202863,0
1769,0.0026935609,0.0006202863,0
1796,0.0026298985,0.0006202863,0
1797,0.0026960212,0.0006202863,0
1861,0.0015601049,0.0006202863,0
2004,0.0010273371,0.0006202863,0
2014,0.0006889154,0.0006202863,0
2068,0.0009068803,0.0006202863,0
2107,0.0006296672,0.0006202863,0
2179,0.0006508771,0.0006202863,0
2212,0.0006952378,0.0006202863,0
2221,0.0007629517,0.0006202863,0
2309,0.0006701570,0.0006202863,0
2314,0.0006837174,0.0006202863,0
2332,0.0006924676,0.0006202863,0
2344,0.0009069436,0.0006202863,0
2438,0.0006797362,0.0006202863,0
2509,0.0010550680,0.0006202863,0
2546,0.0006621031,0.0006202863,0
2573,0.0010629107,0.0006202863,0
2596,0.0006899757,0.0006202863,0
2609,0.0006550123,0.0006202863,0
2616,0.0015721214,0.0006202863,0
2706,0.0007871592,0.0006202863,0
2714,0.0006792377,0.0006202863,0
2726,0.0006309064,0.0006202863,0
2775,0.0009114172,0.0006202863,0
2793,0.0006416537,0.0006202863,0
2825,0.0006856897,0.0006202863,0
2851,0.0006913402,0.0006202863,0
2989,0.0006948034,0.0006202863,0
3075,0.0042777463,0.0006202863,0
3100,0.0015904519,0.0006202863,0
3129,0.0006837910,0.0006202863,0
3158,0.0042777463,0.0006202863,0
3202,0.0010546057,0.0006202863,0
3282,0.0006263623,0.0006202863,0
3286,0.0010612381,0.0006202863,0
3290,0.0006299779,0.0006202863,0
3291,0.0006923581,0.0006202863,0
3307,0.0010399256,0.0006202863,0
3401,0.0006940809,0.0006202863,0
3411,0.0008400761,0.0006202863,0
3443,0.0006457275,0.0006202863,0
3451,0.0007085432,0.0006202863,0
3485,0.0010237647,0.0006202863,0
3549,0.0039693194,0.0006202863,0
3606,0.0015343848,0.0006202863,0
3609,0.0006889672,0.0006202863,0
3654,0.0039639191,0.0006202863,0
3658,0.0006593688,0.0006202863,0
3667,0.0010639728,0.0006202863,0
3669,0.0006459277,0.0006202863,0
3713,0.0007127694,0.0006202863,0
3736,0.0008848875,0.0006202863,0
3737,0.0009361680,0.0006202863,0
3993,0.0010294579,0.0006202863,0
4037,0.0007775503,0.0006202863,0
4064,0.0015812443,0.0006202863,0
4078,0.0042634710,0.0006202863,0
4079,0.0042634541,0.0006202863,0
4106,0.0016286582,0.0006202863,0
4128,0.0016286582,0.0006202863,0
4160,0.0007123937,0.0006202863,0
4191,0.0006918078,0.0006202863,0
4201,0.0042634504,0.0006202863,0
4206,0.0042634498,0.0006202863,0
4299,0.0010068815,0.0006202863,0
4304,0.0009781967,0.0006202863,0
4364,0.0006503354,0.0006202863,0
4434,0.0007124325,0.0006202863,0
4502,0.0023955014,0.0006202863,0
4585,0.0024556089,0.0006202863,0
4587,0.0016052121,0.0006202863,0
4699,0.0006661010,0.0006202863,0
