record,error,threshold,predicted,label,status
1,0.0000952218,0.0006202863,0,0,NORMAL
2,0.0000542101,0.0006202863,0,0,NORMAL
3,0.0000171511,0.0006202863,0,0,NORMAL
4,0.0000049286,0.0006202863,0,0,NORMAL
5,0.0000055305,0.0006202863,0,0,NORMAL
6,0.0000040352,0.0006202863,0,0,NORMAL
7,0.0000047398,0.0006202863,0,0,NORMAL
8,0.0000045439,0.0006202863,0,0,NORMAL
9,0.0000067290,0.0006202863,0,0,NORMAL
10,0.0000064546,0.0006202863,0,0,NORMAL
11,0.0003959049,0.0006202863,0,0,NORMAL
12,0.0000050975,0.0006202863,0,0,NORMAL
13,0.0000026504,0.0006202863,0,0,NORMAL
14,0.0000043413,0.0006202863,0,0,NORMAL
15,0.0000537826,0.0006202863,0,0,NORMAL
16,0.0000028606,0.0006202863,0,0,NORMAL
17,0.0000059919,0.0006202863,0,0,NORMAL
18,0.0000053540,0.0006202863,0,0,NORMAL
19,0.0000046215,0.0006202863,0,0,NORMAL
20,0.0000069428,0.0006202863,0,0,NORMAL
21,0.0000058768,0.0006202863,0,0,NORMAL
22,0.0000370342,0.0006202863,0,0,NORMAL
23,0.0000049664,0.0006202863,0,0,NORMAL
24,0.0000021618,0.0006202863,0,0,NORMAL
25,0.0000041962,0.0006202863,0,0,NORMAL
26,0.0000041379,0.0006202863,0,0,NORMAL
27,0.0000052017,0.0006202863,0,0,NORMAL
28,0.0000052791,0.0006202863,0,0,NORMAL
29,0.0002529168,0.0006202863,0,0,NORMAL
30,0.0000121219,0.0006202863,0,0,NORMAL
31,0.0000064962,0.0006202863,0,0,NORMAL
32,0.0000062641,0.0006202863,0,0,NORMAL
33,0.0000134207,0.0006202863,0,0,NORMAL
34,0.0000063062,0.0006202863,0,0,NORMAL
35,0.0000210136,0.0006202863,0,0,NORMAL
36,0.0000127937,0.0006202863,0,0,NORMAL
37,0.0000029853,0.0006202863,0,0,NORMAL
38,0.0000058335,0.0006202863,0,0,NORMAL
39,0.0000063536,0.0006202863,0,0,NORMAL
40,0.0000080056,0.0006202863,0,0,NORMAL
41,0.0000056023,0.0006202863,0,0,NORMAL
42,0.0000120298,0.0006202863,0,0,NORMAL
43,0.0000063046,0.0006202863,0,0,NORMAL
44,0.0000055467,0.0006202863,0,0,NORMAL
45,0.0002799954,0.0006202863,0,0,NORMAL
46,0.0000033049,0.0006202863,0,0,NORMAL
47,0.0000150525,0.0006202863,0,0,NORMAL
48,0.0001222026,0.0006202863,0,0,NORMAL
49,0.0000122550,0.0006202863,0,0,NORMAL
50,0.0001182398,0.0006202863,0,0,NORMAL
51,0.0000029492,0.0006202863,0,0,NORMAL
52,0.0000034153,0.0006202863,0,0,NORMAL
53,0.0189504837,0.0006202863,1,0,ANOMALY
54,0.0000133764,0.0006202863,0,0,NORMAL
55,0.0000773589,0.0006202863,0,0,NORMAL
56,0.0000065160,0.0006202863,0,0,NORMAL
57,0.0016877362,0.0006202863,1,0,ANOMALY
58,0.0016877362,0.0006202863,1,0,ANOMALY
59,0.0000123749,0.0006202863,0,0,NORMAL
60,0.0000134239,0.0006202863,0,0,NORMAL
61,0.0000034720,0.0006202863,0,0,NORMAL
62,0.0000033899,0.0006202863,0,0,NORMAL
63,0.0000054237,0.0006202863,0,0,NORMAL
64,0.0000082072,0.0006202863,0,0,NORMAL
65,0.0042634591,0.0006202863,1,0,ANOMALY
66,0.0042634591,0.0006202863,1,0,ANOMALY
67,0.0000071868,0.0006202863,0,0,NORMAL
68,0.0000356501,0.0006202863,0,0,NORMAL
69,0.0213128742,0.0006202863,1,0,ANOMALY
70,0.0000500072,0.0006202863,0,0,NORMAL
71,0.0003349666,0.0006202863,0,0,NORMAL
72,0.0002183178,0.0006202863,0,0,NORMAL
73,0.0002802622,0.0006202863,0,0,NORMAL
74,0.0000074404,0.0006202863,0,0,NORMAL
75,0.0029011455,0.0006202863,1,0,ANOMALY
76,0.0000976982,0.0006202863,0,0,NORMAL
77,0.0000339711,0.0006202863,0,0,NORMAL
78,0.0002275476,0.0006202863,0,0,NORMAL
79,0.0001081172,0.0006202863,0,0,NORMAL
80,0.0005242082,0.0006202863,0,0,NORMAL
81,0.0000048743,0.0006202863,0,0,NORMAL
82,0.0000038229,0.0006202863,0,0,NORMAL
83,0.0001938016,0.0006202863,0,0,NORMAL
84,0.0011231505,0.0006202863,1,0,ANOMALY
85,0.0003907350,0.0006202863,0,0,NORMAL
86,0.0000082384,0.0006202863,0,0,NORMAL
87,0.0004088318,0.0006202863,0,0,NORMAL
88,0.0000062389,0.0006202863,0,0,NORMAL
89,0.0000040352,0.0006202863,0,0,NORMAL
90,0.0001135324,0.0006202863,0,0,NORMAL
91,0.0002331260,0.0006202863,0,0,NORMAL
92,0.0001187402,0.0006202863,0,0,NORMAL
93,0.0002273407,0.0006202863,0,0,NORMAL
94,0.0000119756,0.0006202863,0,0,NORMAL
95,0.0000216882,0.0006202863,0,0,NORMAL
96,0.0000196091,0.0006202863,0,0,NORMAL
97,0.0208620834,0.0006202863,1,0,ANOMALY
98,0.0005347129,0.0006202863,0,0,NORMAL
99,0.0000458498,0.0006202863,0,0,NORMAL
100,0.0201599148,0.0006202863,1,0,ANOMALY
101,0.0005072656,0.0006202863,0,0,NORMAL
102,0.0000283163,0.0006202863,0,0,NORMAL
103,0.0098041399,0.0006202863,1,0,ANOMALY
104,0.0001991421,0.0006202863,0,0,NORMAL
105,0.0014446568,0.0006202863,1,0,ANOMALY
106,0.0002512278,0.0006202863,0,0,NORMAL
107,0.0000419722,0.0006202863,0,0,NORMAL
108,0.0133232726,0.0006202863,1,0,ANOMALY
109,0.0004991341,0.0006202863,0,0,NORMAL
110,0.0003542983,0.0006202863,0,0,NORMAL
111,0.0035581810,0.0006202863,1,0,ANOMALY
112,0.0000037319,0.0006202863,0,0,NORMAL
113,0.0232895285,0.0006202863,1,0,ANOMALY
114,0.0004861095,0.0006202863,0,0,NORMAL
115,0.0000184801,0.0006202863,0,0,NORMAL
116,0.0002147106,0.0006202863,0,0,NORMAL
117,0.0006723395,0.0006202863,1,0,ANOMALY
118,0.0001969248,0.0006202863,0,0,NORMAL
119,0.0004563949,0.0006202863,0,0,NORMAL
120,0.0008772634,0.0006202863,1,0,ANOMALY
121,0.0002163727,0.0006202863,0,0,NORMAL
122,0.0000074052,0.0006202863,0,0,NORMAL
123,0.0008522953,0.0006202863,1,0,ANOMALY
124,0.0002271138,0.0006202863,0,0,NORMAL
125,0.0002162839,0.0006202863,0,0,NORMAL
126,0.0002313906,0.0006202863,0,0,NORMAL
127,0.0000315300,0.0006202863,0,0,NORMAL
128,0.0000565131,0.0006202863,0,0,NORMAL
129,0.0007258502,0.0006202863,1,0,ANOMALY
130,0.0001579271,0.0006202863,0,0,NORMAL
131,0.0003901991,0.0006202863,0,0,NORMAL
132,0.0006629299,0.0006202863,1,0,ANOMALY
133,0.0000380846,0.0006202863,0,0,NORMAL
134,0.0004962243,0.0006202863,0,0,NORMAL
135,0.0001892098,0.0006202863,0,0,NORMAL
136,0.0000051721,0.0006202863,0,0,NORMAL
137,0.0267993949,0.0006202863,1,0,ANOMALY
138,0.0002708727,0.0006202863,0,0,NORMAL
139,0.0001142560,0.0006202863,0,0,NORMAL
140,0.0132887952,0.0006202863,1,0,ANOMALY
141,0.0004576130,0.0006202863,0,0,NORMAL
142,0.0000989706,0.0006202863,0,0,NORMAL
143,0.0002215174,0.0006202863,0,0,NORMAL
144,0.0001395975,0.0006202863,0,0,NORMAL
145,0.0002326453,0.0006202863,0,0,NORMAL
146,0.0000236745,0.0006202863,0,0,NORMAL
147,0.0000795343,0.0006202863,0,0,NORMAL
148,0.0003675541,0.0006202863,0,0,NORMAL
149,0.0000067210,0.0006202863,0,0,NORMAL
150,0.0000057801,0.0006202863,0,0,NORMAL
151,0.0002272993,0.0006202863,0,0,NORMAL
152,0.0006825327,0.0006202863,1,0,ANOMALY
153,0.0001782398,0.0006202863,0,0,NORMAL
154,0.0003729200,0.0006202863,0,0,NORMAL
155,0.0003077588,0.0006202863,0,0,NORMAL
156,0.0004523479,0.0006202863,0,0,NORMAL
157,0.0019760875,0.0006202863,1,0,ANOMALY
158,0.0009045569,0.0006202863,1,0,ANOMALY
159,0.0008465849,0.0006202863,1,0,ANOMALY
160,0.0040536342,0.0006202863,1,0,ANOMALY
161,0.0000121360,0.0006202863,0,0,NORMAL
162,0.0228913459,0.0006202863,1,0,ANOMALY
163,0.0004661947,0.0006202863,0,0,NORMAL
164,0.0007997482,0.0006202863,1,0,ANOMALY
165,0.0005064384,0.0006202863,0,0,NORMAL
166,0.0002131038,0.0006202863,0,0,NORMAL
167,0.0000032299,0.0006202863,0,0,NORMAL
168,0.0231456741,0.0006202863,1,0,ANOMALY
169,0.0008465849,0.0006202863,1,0,ANOMALY
